Time,Resistance
1,7254.73
2,7893.9
3,8091.35
4,8130.83
5,7933.59
6,7961.72
7,8358.54
8,8730.94
9,8557.11
10,10247.37
11,8013.42
12,8877.53
13,10205.53
14,8116.69
15,14657.37
16,13469.93
17,17983.03
18,14440.77
19,18940.59
20,7197.08
21,16230.83
22,6148.81
23,19434.44
24,5615.86
25,10299.65
26,9759.25
27,5761.45
28,10779.07
29,9469.1
30,6062.09
31,15327.76
32,7898.5
33,7606.76
34,10549.36
35,8806.06
36,16658.88
37,6977.14
38,11336.37
39,7160.13
40,20237.81
41,5438.22
42,9390.4
43,9365.73
44,5668.88
45,11206.33
46,9263.43
47,7595.17
48,10979
49,6826.57
50,18442.54
51,6770.96
52,19517.6
53,6292.57
54,21131.78
55,7072.51
56,19613.63
57,6408.66
58,19239.66
59,5809.42
60,10718.94
61,10124.73
62,18108.45
63,5891.58
64,19219.82
65,5912.31
66,10272.2
67,9073.99
68,4683.6
69,9840.01
70,10065.66
71,9917.42
72,9158.62
73,8969.86
74,9146.03
75,8942.12
76,8976.4
77,8811.55
78,8828.11
79,8516.27
80,8310.88
81,8472.51
82,8542.71
83,8873.88
84,8650.01
85,8497.74
86,8406.64
87,8552.15
88,8465.53
89,8575.85
90,8580.09
91,8514.52
92,8613.62
93,8546.85
94,8554.11
95,8527.48
96,8425.89
97,8456.4
98,8404.92
99,8387.74
100,8399.51
101,7929.68
102,7806.56
103,7669
104,7440.62
105,6526.79
106,6714.28
107,6755.23
108,6781.97
109,6774.7
110,6766.91
111,6796.17
112,6813.77
113,6753.59
114,6740.01
115,6698.28
116,6698.94
117,6732.32
118,6708.18
119,6685.12
120,6623.77
121,6613.8
122,6553.67
123,6462.58
124,6394.11
125,6384.96
126,6438.41
127,6508.73
128,6498.15
129,6604.63
130,6651.3
131,7103.49
132,7164.92
133,7147.99
134,7266.2
135,7279.17
136,7334.45
137,7313.45
138,7272.72
139,7285.28
140,7256.59
141,7334.83
142,7372.55
143,7327.2
144,7327.68
145,7284.34
146,7157.76
147,7099.22
148,7130.68
149,7105.46
150,7067.9
151,6996.58
152,6951.03
153,6888.16
154,6861.02
155,6804.55
156,6783.84
157,6808.28
158,6820.96
159,6780.85
160,6814.71
161,6804.36
162,6681.47
163,6749.75
164,6817.95
165,6766.32
166,6776.17
167,6846.15
168,6884.27
