Time,Resistance
1,6847.83
2,6686.18
3,6549.35
4,7614
5,9372.12
6,9121.49
7,10036.41
8,8791.25
9,8560.5
10,8874.89
11,9104.39
12,9194.79
13,9726.19
14,9343.19
15,9994.73
16,8845.49
17,10419.88
18,9870.24
19,8684.66
20,10158.31
21,8418.17
22,10605.7
23,10102.12
24,17062.08
25,13203.92
26,15833.4
27,12138.3
28,15084.49
29,14439.13
30,9884.06
31,9715.49
32,15462.81
33,13769.25
34,10383.17
35,10424.62
36,9678.76
37,10695.51
38,9710.69
39,13775.25
40,14505.05
41,12990.19
42,12985.58
43,13614.7
44,12602.12
45,12201.71
46,13066.07
47,13598.96
48,13612.01
49,14254.42
50,13702.57
51,9191
52,9519.53
53,9324.24
54,9842.46
55,9821.67
56,9114.71
57,12442.75
58,9841
59,8787.68
60,9339.05
61,9307.64
62,15089.5
63,14858.56
64,12229.9
65,14986.02
66,12778.28
67,16650.45
68,12011.36
69,13962.53
70,9168.27
71,10786.56
72,10171.76
73,15581.05
74,15548.21
75,8130.07
76,8638.71
77,8003.78
78,7670.99
79,8000.5
80,8276.23
81,8489.37
82,8276.02
83,8218.54
84,7325.04
85,7140.35
86,7189.36
87,7055.63
88,7614.2
89,11871.7
90,7869.7
91,8442.43
92,8491.25
93,8354.06
94,8203.4
95,8196.04
96,8119.53
97,8024.56
98,8089.67
99,8070.81
100,7985.43
101,7949.8
102,7981.62
103,7631.47
104,7627.1
105,7479.8
106,7461.61
107,7352.84
108,7328.91
109,7450.41
110,7262.61
111,7375.18
112,7408.96
113,7396.29
114,7520.47
115,7498.98
116,7490.84
117,7536.67
118,7569.21
119,7606.33
120,7520.71
121,7426.97
122,7475.98
123,7465.1
124,7488.53
125,7504.18
126,7464.91
127,7498.91
128,7483.47
129,7422.85
130,7394.69
131,7312.54
132,7295.04
133,7266.01
134,7258.39
135,7336.06
136,7331.18
137,7356.94
138,7296.85
139,7283.12
140,7359.69
141,7371.56
142,7769.84
143,7511.08
144,7832.37
145,7678.1
146,7415.76
147,7319.53
148,7256.97
149,7207.62
150,7151.5
151,7117.36
152,7131.4
153,7145.85
154,7258.83
155,6752.53
156,7418.46
157,7073.17
158,6913.32
159,6963.91
160,7091.26
161,7361.19
162,7217.63
163,7273.75
164,7423.34
165,7389.03
166,7334.51
167,7171.32
168,7269.54
169,7335.88
170,7094.58
171,7060.33
172,6896.19
173,7193.25
174,7295.08
175,7152.96
176,6972.62
177,6919.09
178,6805.44
179,6902.92
180,6899.91
181,6950.29
182,6947.42
183,7304.43
184,7337.06
185,7251.42
186,7210.84
187,7237.62
188,7156.59
189,7161.42
190,7229.9
191,7043.23
192,7130.8
193,7204.55
194,7190
195,7090
196,7078.35
197,6953.92
198,6936.24
199,6965.12
200,6920.53
201,6831.34
202,6854.87
203,6725.77
204,6593
205,6499.54
206,6508.25
207,6607.17
208,6579.24
209,6522.23
210,6478.13
211,6389.05
212,6353.87
213,6397.96
214,6454.84
215,6390.91
216,6496.5
217,6478.39
218,6421.18
219,6449.29
220,6437.81
221,6629.51
222,6516.75
223,6551.07
224,6612.48
225,6414.24
226,6438.49
227,6398.46
228,6405.24
229,6356.71
230,6241.02
231,6247.22
232,6133.51
233,6121.19
234,6117.85
235,6113.48
236,6050.75
237,5936.25
238,5900.07
239,5840.48
240,5899
241,5936.78
242,5919.09
243,5844.77
244,5526.69
245,5527.04
246,5547.75
247,5824.53
248,6018.74
