Time,Resistance
1,7208.84
2,7259.89
3,11563.53
4,13599.23
5,13553.84
6,14325.82
7,15641.78
8,11884.1
9,17777.72
10,15003.44
11,15704.33
12,15557
13,17910.57
14,15726.17
15,15030.83
16,16072.07
17,13623.15
18,12632.48
19,16104.37
20,6639.2
21,17048.72
22,7427.13
23,10428.3
24,7717.06
25,8746.7
26,9217.35
27,8351.37
28,10071.4
29,7429.33
30,9983.76
31,8294.07
32,8834.04
33,9585.42
34,7220.14
35,10529.72
36,8081.29
37,13689.74
38,17060.33
39,8022.38
40,14597.77
41,17760.57
42,15949.11
43,17914.42
44,17605.75
45,18788.79
46,18033.26
47,17385.97
48,18488.82
49,7530.48
50,17766.24
51,8138.71
52,10011.07
53,6548.98
54,18254.08
55,16025.36
56,15364.8
57,14503.27
58,14148.79
59,14770.64
60,14954.38
61,14803.55
62,14659.32
63,14226.73
64,13991.38
65,13810.93
66,12735.65
67,11421.46
68,12269.66
69,11912.91
70,11775.09
71,11088.99
72,11260.27
73,12074.05
74,12149.44
75,11512.47
76,11206.17
77,10946.5
78,7637.79
79,7431.43
80,7199.71
81,7130.42
82,7093.57
83,6812.28
84,6847.84
85,6506.62
86,6859.95
87,6795.31
88,6710.21
89,6729.27
90,6699.15
91,6564.89
92,6703.59
93,6682.63
94,6509.36
95,6461.47
96,6436.68
97,6391.24
98,6394.5
99,6379.13
100,6470.1
101,6460.56
102,6440
103,6459.06
104,6433.63
105,6421.85
106,6349.27
107,6606.97
108,6658.52
109,6595.3
110,6496.52
111,6626.04
112,6566.66
113,6570.53
114,6533.23
115,6653.96
116,6643.51
117,6702.01
118,6795.26
119,6664.01
120,6575.13
121,6530.25
122,6945.93
