Time,Resistance,,,
1,7782.02,,,
2,7628.49,,,
3,7524.28,,,
4,7183.81,,,
5,7720.31,,,
6,9138.75,,,
7,8881.72,,,
8,9897.66,,,?
9,8701.35,,,
10,14879.96,,,
11,13445.02,,,
12,16326.78,,,
13,6917.87,,,
14,11274.51,,,
15,8702.8,,,
16,11914.71,,,
17,5604.56,,,
18,8855.87,,,
19,8480.34,,,
20,7813.95,,,
21,9918.95,,,
22,5573.51,,,
23,15590.24,,,
24,7017.55,,,
25,15709.87,,,
26,7539.07,,,
27,9651.12,,,
28,7424.28,,,
29,9306.01,,,
30,9549.01,,,
31,6086.94,,,
32,10365.89,,,
33,7953.55,,,
34,16133.07,,,
35,7481.17,,,
36,10791.27,,,
37,7013.28,,,
38,10424.8,,,
39,9067.16,,,
40,16134.64,,,
41,6637.84,,,
42,10958.87,,,
43,7455.75,,,
44,18165.19,,,
45,6103.9,,,
46,15995.51,,,
47,5146.38,,,
48,10159.76,,,
49,8566.54,,,
50,8121.61,,,
51,10089.42,,,
52,5971.88,,,
53,10595.53,,,
54,7744.26,,,
55,19159.59,,,
56,6516.71,,,
57,10330.93,,,
58,7798.74,,,
59,9221.92,,,
60,9263.62,,,
61,7607.79,,,
62,10147.96,,,
63,6748.01,,,
64,18138.14,,,
65,6943.79,,,
66,10464.26,,,
67,7032.8,,,
68,15760.23,,,
69,9608.75,,,
70,10795.62,,,
71,10238.13,,,
72,10384.84,,,
73,10236,,,
74,10024.59,,,
75,9686.33,,,
76,9162.58,,,
77,9023.78,,,
78,8841.23,,,
79,9036.27,,,
80,9096.99,,,
81,8991.07,,,
82,8937.01,,,
83,8928.16,,,
84,8787.4,,,
85,8924.64,,,
86,9125.7,,,
87,9221.5,,,
88,9136.67,,,
89,9003.37,,,
90,8887.93,,,
91,8736.96,,,
92,8831.43,,,
93,8807.16,,,
94,8725.57,,,
95,8747.53,,,
96,8631.39,,,
97,8636.55,,,
98,8640.61,,,
99,8586.07,,,
100,8622.77,,,
101,8755,,,
102,8802.3,,,
103,8674.55,,,
104,8650.02,,,
105,8716,,,
106,8740.27,,,
107,8749.3,,,
108,8741.2,,,
109,8570.94,,,
110,8643.34,,,
111,8648.53,,,
112,8676.16,,,
113,8632.66,,,
114,8608.06,,,
115,8569.26,,,
116,8556.75,,,
117,8544.41,,,
118,8574.15,,,
119,8566.27,,,
120,8392.06,,,
121,8249.15,,,
122,8408.73,,,
123,8403.75,,,
124,8387.78,,,
125,8332.1,,,
126,8300.24,,,
127,8320.54,,,
128,8241.2,,,
129,8236.49,,,
130,8078.88,,,
131,8045.06,,,
132,7945.13,,,
133,7934.21,,,
134,7963.65,,,
135,7919.06,,,
136,7910.51,,,
137,7955.18,,,
138,7945.86,,,
139,7923.66,,,
