Time,Resistance
1,6820.29
2,5895.3
3,5896.01
4,8067.55
5,209707.92
6,13854.78
7,4522.74
8,3087.2
9,14389.56
10,4609.92
11,3068.55
12,14258.46
13,13295.65
14,5155.32
15,3468.54
16,19612.49
17,6225.28
18,4649.12
19,14212.55
20,5925.24
21,3527.3
22,12641.09
23,5133.32
24,3338.88
25,10840.22
26,7460.91
27,3336.43
28,10165.35
29,5663.73
30,3048.24
31,11540.16
32,6217.16
33,3418.06
34,10253.35
35,7121.31
36,3745.68
37,2796.97
38,11458.27
39,6095.72
40,3121.83
41,10760.34
42,5694.22
43,3138.65
44,11140.04
45,6639.53
46,3084.33
47,13163.59
48,5008.22
49,3178.39
50,12680.04
51,7207.69
52,3895.71
53,12856.83
54,6294.68
55,3289.57
56,15098.14
57,5040.31
58,2914.42
59,11960.26
60,4023.8
61,3526.23
62,12502.69
63,8472.13
64,8325
65,8196.91
66,7198.11
67,7086.92
68,7277.06
69,6412.69
70,6515.59
71,6276.79
72,5561.43
73,5148.74
74,5173.47
75,4979.55
76,4638.33
77,4587.1
78,4704.14
79,4722.54
80,4763.55
81,4606.48
82,4599.09
83,4514.63
84,4460.22
85,4377.92
86,4305.41
87,4563.49
88,4381.37
89,4429.45
90,4427.97
91,4310.27
92,4313.36
93,4196.02
94,4376.35
95,4418.32
96,4279.24
97,4309.19
98,4226.85
99,4043.9
100,3912.94
101,3978.68
102,3995.13
103,4039.5
104,4199.06
105,4264.63
106,4246.08
107,4149.5
108,4171.67
109,4266.6
110,4334.66
111,4323.58
112,4330.53
113,4226.24
114,4256.16
115,4213.34
116,4134.22
117,4099.33
118,4117.99
119,4135.74
120,4188.97
121,4108.56
122,4151.01
123,4099.43
124,4082.27
125,4135.27
126,4036.5
127,4012.34
128,4021.07
129,4110.97
130,4137.4
131,4132.25
132,4098.11
133,4034.38
134,4033.41
135,4077.81
136,4003.58
137,3975.51
138,3951.62
139,3962.26
140,3800.69
141,3787.69
142,3820.97
143,3922.35
144,4447.25
145,4147.56
146,3972.74
147,3833.24
148,3860.11
149,3863
150,3819.67
151,3714.45
152,3589.56
153,3636.34
154,3629.42
155,3603.66
156,3630.44
157,3611.51
158,3549.31
159,3575.92
160,3581.94
161,3595.5
162,3610.64
163,3615.19
164,3609.34
165,3610.84
166,3554.26
167,3537.51
168,3585.37
169,3554.83
170,3556.12
171,3574.69
172,3565.52
173,3549.43
174,3531.94
175,3530.3
176,3497.07
177,3503.17
178,3475.08
179,3501.65
180,3507.23
181,3507.52
182,3557.72
183,3627.52
184,3621.65
185,3522.19
186,3517.61
187,3499.25
188,3523.27
189,3553.5
190,3637.61
191,3627.1
192,3649.77
193,4432.06
194,3680.34
195,3760.4
