Time,Resistance
1,4967.72
2,4964.07
3,4917.59
4,4881.4
5,4909.83
6,5283.04
7,6088.49
8,5869.14
9,6261.73
10,7327.21
11,5437.34
12,8630.82
13,8017.72
14,5537.99
15,7633.63
16,8716.91
17,6772.38
18,6149.14
19,8932.46
20,7752.51
21,4836.63
22,8726.45
23,8333.91
24,5192.58
25,6051.06
26,8130.81
27,5562.82
28,6563
29,8220.59
30,5855.23
31,5732.88
32,8990.48
33,5825.63
34,4831.44
35,8516.63
36,6995.16
37,4145.14
38,8460.91
39,8078.01
40,4748.98
41,7898.3
42,8821.54
43,5072.67
44,5766.26
45,8697.93
46,6860.77
47,4427.13
48,9051.13
49,8124.98
50,5286.86
51,8672.31
52,7273.85
53,4267.96
54,8377.83
55,7034.16
56,12407.07
57,5355.75
58,5881.6
59,8844.18
60,6112.14
61,6893.48
62,8586.17
63,4531.26
64,6061.8
65,8614.77
66,5482.92
67,6148.25
68,8363.34
69,5459.34
70,6450.56
71,8615.68
72,4897.54
73,6985.28
74,9102.87
75,5211.87
76,7755.76
77,9031.35
78,4878.78
79,6678.7
80,8834.96
81,8548.44
82,8267.17
83,8378.72
84,7944.41
85,7770.18
86,7552.71
87,7552.51
88,7637.76
89,7554.72
90,7594.43
91,7404.96
92,7446.43
93,7431.92
94,7385.12
95,7406.94
96,7340.32
97,7470.04
98,7451.55
99,7216.43
100,7316.86
101,7236.65
102,7277.24
103,7231.12
104,7162.81
105,7188.62
106,7209.51
107,7108.47
108,7216.22
109,7239.19
110,7160.62
111,6975.63
112,6898.52
113,7140.4
114,7056.27
115,6967.23
116,6854.98
117,6969.09
118,7077.99
119,7058.31
120,6971.94
121,6756.16
122,6922.25
123,7020.95
124,7020.12
125,6917.08
126,6911.6
127,6996.86
128,7023.58
129,7057.62
130,6998.23
131,6934.49
132,6917.38
133,6940.48
134,6918.44
135,6885.13
136,6804.32
137,6748.48
138,6794.78
139,6779.32
140,6743.45
141,6600.79
142,6589.28
143,6515.33
144,6412.9
145,6423.9
146,6420.57
147,6373.55
148,6385.25
149,6427.56
150,6356.44
151,6308.2
152,6313.49
153,6329.12
154,6298.03
155,6238.33
156,6255.9
157,6202.57
158,6109.13
159,6015.19
160,5959.78
161,5936.9
162,5945.94
163,5936.1
164,5951.26
165,5995.22
166,5949.29
167,6017.45
168,6014.86
169,5983.21
170,5968.08
171,5946.69
