Time,Resistance
1,8824.68
2,13266.33
3,16550.91
4,16923.3
5,20989.39
6,17369.66
7,7754.21
8,10820.73
9,13169.1
10,18509.35
11,18650.89
12,17845.55
13,19748.52
14,17115.85
15,15200.27
16,8704.02
17,19871.24
18,15621.01
19,13972.08
20,16109.58
21,13866.98
22,17559.81
23,12787.62
24,16263.08
25,12743.28
26,9307.27
27,10255.03
28,7470.55
29,10382.61
30,7729.31
31,9013.28
32,9899.1
33,7215.73
34,9131.67
35,8368.79
36,15283.99
37,9027.59
38,10882.66
39,7640.93
40,13696.38
41,14440.11
42,15479.13
43,6724.55
44,18075.16
45,6494.8
46,17503.4
47,15479.55
48,18185.01
49,15234.46
50,14857.61
51,15334.14
52,14698.33
53,13174.04
54,14429.73
55,14905.97
56,14793.03
57,13496.9
58,13941.05
59,14061.21
60,13512.3
61,13874.04
62,13906.18
63,11305.7
64,10998.11
65,10921.8
66,10952.79
67,10435.9
68,11722.23
69,13202.96
70,13690.51
71,13986.72
72,13976.49
73,14039.33
74,13661.95
75,13565.53
76,13531.66
77,13550.65
78,13864.22
79,14219.88
80,13907.79
81,13674.97
82,13715.97
83,13907.6
84,13833.61
85,13717.5
86,13912.09
87,13952.14
88,13699.95
89,13365.94
90,13046.06
91,13319.87
92,13635.52
93,13167.09
94,13089.02
95,12885.04
96,12472.19
97,12407.47
98,12649.89
99,12621.95
100,12657.2
101,12847.69
102,13049.51
103,12981.74
104,13257.9
105,13169.95
106,12848.3
107,13173.54
108,13575.91
109,13242.66
110,13180.82
111,13330.6
112,13418.53
113,13196.47
114,12965.02
115,12627.83
116,12691.03
117,12644.71
118,12393.87
119,12651.87
120,12562.29
121,12484.7
122,12652.75
123,12792.02
124,12920.97
125,12529.37
126,12298.47
127,12569.38
128,12549.31
129,12825.47
130,12574.98
131,12691.64
