Time,Resistance
1,6293.07
2,6246.57
3,6338.27
4,6673.42
5,6489.7
6,9311.93
7,8121.7
8,18523.31
9,14516.83
10,6838.91
11,19588.73
12,15331.78
13,7710.54
14,20045.28
15,16323.43
16,6226.93
17,18448.44
18,6394.83
19,21024.61
20,5918.44
21,15859.28
22,14287.42
23,5757.52
24,18962.49
25,5908.25
26,8912.79
27,11973.19
28,5418.74
29,19113.1
30,5604.43
31,9122.35
32,9967.86
33,5200.46
34,10094
35,12649.13
36,6012.19
37,19067.44
38,5730.23
39,15714.8
40,6008.74
41,9127.9
42,10403.85
43,16753.95
44,6623.31
45,17975.78
46,8838.98
47,16603.75
48,5500.44
49,16084.63
50,5316.2
51,10869.21
52,9121.56
53,5139.45
54,19083.69
55,5593.13
56,10109.24
57,11577.08
58,9112.52
59,13984.85
60,7899.27
61,17261.31
62,6751.36
63,15786.07
64,11850.39
65,16775.44
66,15570.83
67,14203.65
68,13243.16
69,11820.13
70,8717.5
71,9142.64
72,8870.32
73,8844.79
74,8435.18
75,8437.38
76,8497.18
77,8435.8
78,8181.69
79,7880.76
80,7617.59
81,7542.64
82,7493.51
83,7965.8
84,7994.78
85,7736.62
86,7896.75
87,8127.12
88,8290.22
89,8237.09
90,8153.05
91,8062.34
92,8006.24
93,7923.34
94,7835.98
95,7822.66
96,7860.87
97,7916.63
98,7871.1
99,7776.02
100,7648.47
101,7646.33
102,7569.46
103,7387.47
104,7243.58
105,7222.37
106,7126.07
107,7028.4
108,6917
109,6846.18
110,6879.42
111,6866.92
112,6779.96
113,6687.14
114,6702.42
115,6640.85
116,6552.35
117,6514.26
118,6497.93
119,6546.33
120,6532.16
121,6556.36
122,6544.02
123,6634.75
124,6635.14
125,6619.59
126,6607.97
127,6617.48
128,6465.46
129,6291.27
130,6351.05
131,6616.47
132,6761.59
133,6782.77
134,6802.89
135,6829.79
136,6811.64
137,6833.69
138,6842.71
139,6899.72
140,6919.32
141,6775.78
142,6803.65
143,6913.2
144,6926.18
145,6929.87
146,6885.35
147,6905.83
148,6841.64
149,6838.61
150,6854.37
151,6851.07
152,6923.24
153,6950.24
154,6952.41
155,6937.64
156,6892.05
157,6898.4
158,6898.64
159,6861.22
160,7047.32
161,7086.37
162,6988.55
163,7050.49
164,7028.13
165,7061.93
166,7067.77
167,7052.08
168,7065.21
169,7021.99
170,7039.62
171,7043.57
172,7068.05
173,7043.05
174,7032.84
175,7042.12
176,7085.67
177,7126.82
178,7138.43
179,7145.83
180,7113.84
